OPEID,CITY,INSTNM,INSTURL,STABBR
137000,Boulder,University of Colorado Boulder,www.colorado.edu,CO
261000,Lodi,Felician University,www.felician.edu,NJ
361200,Houston,University of Houston-Downtown,www.uhd.edu,TX
236700,Moorhead,Minnesota State University Moorhead,www.mnstate.edu,MN
346300,Madison,Dakota State University,dsu.edu,SD
303200,Cleveland,Cleveland State University,www.csuohio.edu/,OH
257500,Rindge,Franklin Pierce University,www.franklinpierce.edu,NH
108100,Tempe,Arizona State University-Tempe,www.asu.edu/,AZ
305100,Kent,Kent State University at Kent,www.kent.edu,OH
197600,Morehead,Morehead State University,www.moreheadstate.edu,KY
114200,San Bernardino,California State University-San Bernardino,www.csusb.edu,CA
379801,Tacoma,University of Washington-Tacoma Campus,www.tacoma.uw.edu/,WA
344600,Orangeburg,South Carolina State University,www.scsu.edu,SC
380200,Bellingham,Western Washington University,www.wwu.edu,WA
1116100,Corpus Christi,Texas A & M University-Corpus Christi,www.tamucc.edu,TX
155900,Atlanta,Clark Atlanta University,www.cau.edu,GA
332921,Media,Pennsylvania State University-Penn State Brandywine,www.brandywine.psu.edu/,PA
250100,Cape Girardeau,Southeast Missouri State University,www.semo.edu,MO
146800,Miami Gardens,St Thomas University,www.stu.edu,FL
279100,New York,Pace University-New York,www.pace.edu,NY
250300,Springfield,Missouri State University-Springfield,www.missouristate.edu,MO
332902,Center Valley,Pennsylvania State University-Penn State Lehigh Valley,www.lv.psu.edu/,PA
365100,Irving,University of Dallas,www.udallas.edu,TX
318100,Weatherford,Southwestern Oklahoma State University,www.swosu.edu,OK
355700,Austin,Concordia University-Texas,www.concordia.edu,TX
364600,Denton,Texas Woman's University,www.twu.edu,TX
188700,Indianola,Simpson College,www.simpson.edu,IA
160500,Honolulu,Chaminade University of Honolulu,www.chaminade.edu,HI
194600,Hillsboro,Tabor College,tabor.edu/,KS
205000,Biddeford,University of New England,www.une.edu/,ME
105200,Birmingham,University of Alabama at Birmingham,www.uab.edu,AL
382700,Morgantown,West Virginia University,www.wvu.edu/,WV
251700,Rolla,Missouri University of Science and Technology,www.mst.edu/,MO
332909,Hazleton,Pennsylvania State University-Penn State Hazleton,hazleton.psu.edu/,PA
300500,Grand Forks,University of North Dakota,und.edu,ND
501500,Kenosha,University of Wisconsin-Parkside,https://www.uwp.edu,WI
2070500,Irvine,Concordia University-Irvine,www.cui.edu,CA
330100,Bethlehem,Moravian College,www.moravian.edu,PA
108900,Russellville,Arkansas Tech University,www.atu.edu,AR
377100,Ellensburg,Central Washington University,www.cwu.edu,WA
267000,Clarks Summit,Summit University of Pennsylvania,www.summitu.edu,PA
234500,Saint Paul,University of St Thomas,www.stthomas.edu,MN
273700,New Rochelle,Iona College,www.iona.edu,NY
332905,Erie,Pennsylvania State University-Penn State Erie-Behrend College,psbehrend.psu.edu/,PA
214300,Milton,Curry College,www.curry.edu,MA
256900,Las Vegas,University of Nevada-Las Vegas,www.unlv.edu/,NV
186900,Ames,Iowa State University,www.iastate.edu,IA
175900,Edwardsville,Southern Illinois University-Edwardsville,www.siue.edu,IL
209200,Annapolis,St John's College,www.sjc.edu,MD
993000,Odessa,The University of Texas of the Permian Basin,www.utpb.edu,TX
140100,Waterbury,Post University,www.post.edu/,CT
389900,Green Bay,University of Wisconsin-Green Bay,www.uwgb.edu,WI
4193700,Escondido,John Paul the Great Catholic University,www.jpcatholic.com/,CA
222800,Boston,Wheelock College,www.wheelock.edu,MA
303300,Cincinnati,Mount Saint Joseph University,www.msj.edu,OH
331500,Bloomsburg,Bloomsburg University of Pennsylvania,www.bloomu.edu,PA
194000,Winfield,Southwestern College,www.sckans.edu,KS
347000,Rapid City,South Dakota School of Mines and Technology,www.sdsmt.edu,SD
183800,Upland,Taylor University,https://www.taylor.edu,IN
332903,Altoona,Pennsylvania State University-Penn State Altoona,www.altoona.psu.edu/,PA
200500,Thibodaux,Nicholls State University,www.nicholls.edu,LA
215300,Wenham,Gordon College,www.gordon.edu,MA
392500,Superior,University of Wisconsin-Superior,www.uwsuper.edu,WI
277800,Newburgh,Mount Saint Mary College,www.msmc.edu,NY
