opeid,pftfac,locale,ugds_white,inexpfte,grad_debt_mdn,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
115100,0.5229,11,0.3501,6812,15998,7521,-11969,4187,-16777
213000,0.6284,11,0.4564,26542,27000,3005,-7080,-18292,7523
268900,0.3387,11,0.2954,9116,10053,15404,-14485,1562,-29908
160600,1,31,0.3739,12569,8291,-12899,-10875,-2372,-33800
213300,0.6506,13,0.4853,14961,27000,2055,-5751,-5097,7523
386900,0.9155,11,0.4944,7872,28134,-9282,-5333,2980,10028
349503,1,21,0.7,3929,20199,-12899,4123,7472,-7498
268700,0.4573,11,0.3485,8934,10456,10328,-12043,1770,-29018
153701,0.9735,12,0.6751,5642,19500,-11764,2978,5520,-9042
278500,0.4219,11,0.356,30237,23300,11843,-11698,-22502,-649
113900,0.4885,11,0.1998,7681,15446,8993,-18882,3197,-17996
1014900,0.5633,21,0.4496,11639,26500,5792,-7393,-1312,6419
357600,0.6261,11,0.2826,6839,25000,3104,-15074,4156,3106
195100,0.9032,43,0.9696,4412,16495,-8756,16523,6922,-15679
132000,0.8347,22,0.3654,11314,16800,-5824,-11266,-942,-15005
235800,0.7787,11,0.6595,19210,23747,-3427,2261,-9938,338
265400,0.6796,33,0.5587,9260,16006,814,-2375,1398,-16759
1205900,0.8519,43,0.783,4851,27592,-6560,7941,6421,8831
134800,0.8646,21,0.7525,14527,26849,-7104,6538,-4603,7190
223800,1,31,0.2732,12620,27750,-12899,-15506,-2430,9180
159600,0.5506,41,0.7757,4983,23750,6335,7605,6271,345
475900,0.3917,11,0.0663,8699,9500,13136,-25022,2037,-31129
269300,0.3514,11,0.2028,8629,10092,14861,-18744,2117,-29822
281400,0.7806,23,0.6286,19668,19500,-3509,839,-10460,-9042
133900,1,12,0.7868,5702,25000,-12899,8116,5452,3106
131400,0.8147,12,0.1607,18713,17000,-4968,-20681,-9372,-14564
280300,0.8552,13,0.6172,19069,27500,-6701,315,-9778,8628
314100,0.2973,41,0.0027,5631,18786,17176,-27947,5533,-10619
302600,1,41,0.0139,6499,39793,-12899,-27432,4544,35780
381000,0.6667,32,0.8483,5042,21200,1366,10944,6204,-5287
2280900,1,32,0.6564,4572,33500,-12899,2118,6739,21880
694100,0.4231,21,0.4563,5122,27121,11792,-7085,6113,7791
268800,0.3997,11,0.1584,13370,11551,12793,-20786,-3284,-26599
350700,0.3378,11,0.5781,8870,33125,15443,-1483,1843,21052
364500,0.5939,11,0.3085,10124,25000,4482,-13883,414,3106
153600,0.7553,21,0.4257,28897,21500,-2426,-8492,-20975,-4624
302400,0.8101,11,0.5319,30078,24250,-4771,-3608,-22320,1449
380900,1,32,0.8437,6763,19500,-12899,10733,4243,-9042
290800,0.7117,31,0.5842,7130,27000,-560,-1203,3825,7523
270400,0.2472,21,0.0595,5731,22175,19320,-25335,5419,-3134
108600,0.8194,13,0.0431,7827,27728.5,-5169,-26089,3031,9133
321700,0.9689,11,0.591,22586,16000,-11568,-890,-13785,-16772
243300,0.9388,32,0.0042,4765,25966,-10279,-27878,6519,5240
363000,0.8173,32,0.0437,6662,28554,-5079,-26062,4358,10956
365800,0.9071,11,0.4603,16749,22159.5,-8923,-6901,-7134,-3168
2328900,0.8,13,0.7454,7013,17000,-4339,6211,3958,-14564
407215,1,13,0.1779,7663,22750,-12899,-19889,3218,-1864
269000,0.4037,11,0.3189,8503,11000,12622,-13404,2261,-27816
138000,0.898,13,0.6473,10530,24500,-8533,1700,-49,2002
318500,0.777,11,0.5495,15982,26000,-3354,-2799,-6260,5315
