opeid,pftfac,locale,ugds_white,inexpfte,grad_debt_mdn,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
129300,1,12,0.458,6750,25000,-12899,-7007,4258,3106
322800,0.6667,21,0.6458,12476,22294.5,1366,1631,-2266,-2870
332901,1,41,0.732,4260,27000,-12899,5595,7095,7523
352400,1,12,0.6069,1694,24500,-12899,-159,10018,2002
381100,1,33,0.6341,7995,23840.5,-12899,1092,2839,545
131600,0.8362,11,0.1384,10948,19500,-5888,-21706,-525,-9042
101900,0.4571,12,0.6388,6435,26230,10337,1309,4617,5823
102900,1,41,0.6479,6766,27000,-12899,1727,4240,7523
207200,0.6859,23,0.5723,7315,22250,544,-1750,3614,-2968
302900,0.9355,11,0.7359,5856,26350,-10138,5775,5276,6088
362400,0.8064,41,0.5666,6816,25000,-4613,-2012,4183,3106
298400,0.6921,12,0.794,7955,20584,279,8447,2885,-6648
228200,0.3753,13,0.6371,7733,25000,13838,1230,3138,3106
341900,0.5845,13,0.6033,6179,27741,4884,-324,4908,9160
183000,0.9196,13,0.7582,20942,27000,-9458,6800,-11911,7523
323500,0.3077,21,0.6861,7453,26972,16731,3484,3457,7462
3255300,0.6576,21,0.6615,6069,18750,1756,2353,5034,-10698
104400,1,13,0.0748,9567,38218,-12899,-24631,1048,32301
312700,0.633,12,0.7894,11646,26000,2808,8235,-1320,5315
177500,0.7305,13,0.5071,13924,20500,-1364,-4749,-3916,-6833
193100,0.5,13,0.7855,4708,19822.5,8501,8056,6584,-8330
303700,0.8009,32,0.7033,13239,26000,-4377,4275,-3135,5315
922600,0.7627,23,0.4521,8702,31250,-2742,-7278,2034,16911
284500,0.7291,32,0.7513,10471,20500,-1304,6483,18,-6833
209900,0.5383,13,0.6335,5824,18500,6862,1065,5313,-11251
110100,0.9821,12,0.5297,7485,21736,-12132,-3709,3420,-4103
182500,0.9493,22,0.6579,16568,22500,-10729,2187,-6928,-2416
114700,0.5096,11,0.231,6613,15993.5,8090,-17447,4414,-16787
157400,0.7763,11,0.2862,7241,23090,-3325,-14908,3698,-1113
328500,0.2821,21,0.4603,8547,18750,17826,-6901,2211,-10698
344100,1,41,0.8223,5010,21500,-12899,9748,6240,-4624
362300,0.5916,11,0.1511,13438,27000,4580,-21122,-3362,7523
317400,0.6222,42,0.5968,6215,18187,3271,-623,4867,-11942
103600,0.997,21,0.8183,14553,23000,-12770,9564,-4632,-1311
210500,0.6955,21,0.442,9911,21943,134,-7743,656,-3646
370200,1,32,0.6112,10312,25000,-12899,39,200,3106
182700,0.9676,21,0.5584,7768,22028,-11512,-2389,3098,-3458
291600,0.6,32,0.182,5071,32000,4221,-19701,6171,18567
173400,0.5,12,0.7337,8701,25515,8501,5673,2035,4244
321100,0.9109,33,0.7336,9764,25322.5,-9085,5669,824,3818
115500,0.3872,11,0.2098,8357,15628,13328,-18422,2427,-17594
296000,0.415,12,0.5328,7565,25000,12139,-3567,3329,3106
3957400,0.7739,13,0.7074,12918,15000,-3222,4464,-2770,-18981
178600,0.8183,13,0.8189,10219,25000,-5122,9592,306,3106
247300,0.469,11,0.6154,10567,27000,9827,232,-91,7523
351900,0.8618,11,0.7608,14453,27000,-6984,6920,-4518,7523
132500,0.3872,11,0.2927,15387,25000,13328,-14609,-5583,3106
298600,0.9853,12,0.1735,11194,27000,-12269,-20092,-805,7523
255300,1,32,0.6497,4805,25250,-12899,1810,6474,3658
754000,0.2465,21,0.7362,4304,21250,19350,5788,7045,-5177
373300,0.6519,21,0.7712,9850,27000,2000,7398,726,7523
262901,0.5102,13,0.5499,14493,21745,8064,-2780,-4564,-4083
169600,0.7354,13,0.7095,16167,27000,-1574,4560,-6471,7523
137800,0.485,21,0.6649,9928,22750,9143,2509,637,-1864
370800,1,13,0.7379,11522,21700,-12899,5867,-1179,-4183
316400,0.674,32,0.7094,6153,26000,1054,4556,4938,5315
262900,0.5536,13,0.4327,18006,21745,6207,-8170,-8566,-4083
245300,1,32,0.8034,10194,17093,-12899,8879,334,-14358
984100,0.7785,11,0.6937,5572,17402,-3419,3834,5600,-13676
343200,0.7439,42,0.661,7868,27000,-1938,2330,2984,7523
175000,0.4248,21,0.4076,10312,25000,11719,-9325,200,3106
141600,1,12,0.2512,8099,27000,-12899,-16518,2721,7523
196900,0.5802,13,0.6845,5301,23567.5,5068,3410,5909,-58
297600,0.8109,11,0.5457,8999,22864,-4805,-2973,1696,-1612
381800,0.5723,13,0.6616,6776,21940,5406,2357,4228,-3653
223500,0.888,31,0.799,13911,27000,-8105,8677,-3901,7523
155400,0.835,23,0.8305,12558,24000,-5837,10125,-2359,897
113300,1,12,0.5098,8294,23000,-12899,-4624,2499,-1311
298900,0.5762,33,0.7758,10550,19500,5239,7610,-72,-9042
367800,0.7741,33,0.7909,7872,13237,-3230,8304,2980,-22875
347700,1,11,0.7414,10033,21426,-12899,6027,517,-4788
200700,1,23,0.6614,9049,23743.5,-12899,2348,1639,331
114000,0.4507,11,0.0757,6587,13645,10611,-24590,4444,-21974
250600,0.6116,11,0.6652,18230,25500,3724,2523,-8822,4210
172200,1,21,0.6909,5719,24447.5,-12899,3705,5433,1886
210600,0.6037,31,0.1017,8675,27000,4062,-23394,2065,7523
345800,0.8438,12,0.8672,10732,27000,-6213,11813,-279,7523
219000,1,12,0.7178,6651,19500,-12899,4942,4371,-9042
986200,0.791,11,0.751,9543,26000,-3954,6469,1076,5315
191800,1,11,0.7043,5679,24500,-12899,4321,5478,2002
222100,0.7878,21,0.6793,13886,24300,-3817,3171,-3872,1560
359100,0.9873,12,0.5561,9561,25000,-12355,-2495,1055,3106
365600,0.6226,11,0.4139,6322,18750,3254,-9035,4746,-10698
108800,0.7119,33,0.742,10540,25000,-568,6055,-60,3106
230800,1,42,0.7735,5426,27000,-12899,7504,5766,7523
192900,0.661,33,0.7372,5154,25000,1610,5834,6076,3106
284200,0.463,11,0.5641,9777,21500,10084,-2127,809,-4624
146900,0.9968,13,0.4023,12044,26987.5,-12762,-9569,-1774,7496
933300,0.6067,12,0.6595,10299,19500,3934,2261,214,-9042
218100,0.6,22,0.8832,8702,27000,4221,12549,2034,7523
273200,0.464,21,0.5643,16162,23500,10041,-2118,-6465,-207
359200,0.7605,12,0.5508,8527,22500,-2648,-2739,2233,-2416
184600,0.9565,13,0.7718,6604,24000,-11037,7426,4424,897
337100,0.494,11,0.5822,12889,25999.5,8757,-1295,-2736,5314
3011300,0.4613,21,0.323,8347,18000,10157,-13216,2438,-12355
250200,1,32,0.8321,5389,20990,-12899,10199,5809,-5751
134200,0.6047,21,0.3128,11796,25000,4020,-13685,-1491,3106
223400,0.5109,32,0.728,8616,27000,8034,5411,2132,7523
277700,0.2334,11,0.6066,6770,25000,19911,-172,4235,3106
170700,0.368,21,0.6554,8524,25000,14150,2072,2237,3106
147300,0.6438,12,0.7482,5278,20250,2346,6340,5935,-7385
382721,0.79,41,0.7462,6765,23969,-3911,6248,4241,829
974100,0.7414,13,0.388,10407,19000,-1831,-10226,91,-10146
216100,0.5407,21,0.6564,10748,25000,6759,2118,-297,3106
110800,0.8714,13,0.7798,9069,21500,-7395,7794,1616,-4624
210200,0.4873,11,0.3383,9029,20500,9044,-12512,1661,-6833
380800,0.6304,41,0.5447,7689,28549.5,2920,-3019,3188,10946
304900,0.5503,31,0.682,9183,27000,6348,3296,1486,7523
294400,0.5823,21,0.6877,5625,27000,4978,3558,5540,7523
269900,0.8443,33,0.8345,13300,27000,-6235,10309,-3205,7523
325900,0.3109,21,0.5136,8357,25872,16594,-4450,2427,5032
218500,1,13,0.7501,5518,23979,-12899,6428,5662,851
210700,0.2907,41,0.5614,9166,25803,17458,-2251,1505,4880
710900,0.423,21,0.3082,9875,15609.5,11796,-13897,697,-17635
348100,0.5265,23,0.843,7223,24648,7367,10700,3719,2329
351100,1,22,0.8273,6417,23500,-12899,9978,4637,-207
212300,0.2599,12,0.6937,6358,26000,18777,3834,4704,5315
282300,0.434,11,0.338,11325,25910,11325,-12526,-955,5116
258600,0.3317,13,0.7865,6657,25500,15704,8102,4364,4210
383100,0.4,13,0.7657,6981,27000,12781,7145,3995,7523
290600,0.7387,32,0.8582,7384,20000,-1715,11399,3536,-7938
232600,0.5857,13,0.6994,9576,25750,4833,4096,1038,4763
315100,0.3153,32,0.6574,6009,21276.5,16406,2164,5102,-5118
172400,0.7041,13,0.7354,8907,27000,-234,5752,1800,7523
262902,0.6035,11,0.256,13707,21745,4071,-16297,-3668,-4083
109800,1,32,0.6569,6495,19586,-12899,2141,4548,-8852
359900,0.9275,13,0.0308,5949,12036.5,-9796,-26655,5170,-25527
271300,0.3348,21,0.3338,7330,27000,15571,-12719,3597,7523
252400,0.589,21,0.768,9847,26625,4692,7251,729,6695
295300,0.2109,11,0.4466,4406,23500,20874,-7531,6928,-207
322400,0.5631,11,0.625,10653,24906,5800,674,-189,2898
365200,0.8564,11,0.2718,7993,19702.5,-6753,-15571,2842,-8595
239400,0.641,32,0.8751,6581,23664.5,2466,12177,4450,156
241500,0.5043,21,0.6625,7825,26145,8317,2399,3033,5635
212200,0.2379,21,0.5756,6300,22878.5,19718,-1598,4771,-1580
265100,0.5909,33,0.4631,6199,15750,4610,-6772,4886,-17325
157200,0.8999,32,0.6267,6032,22500,-8614,752,5076,-2416
171000,0.5031,11,0.6028,11731,25000,8368,-347,-1417,3106
262100,0.6114,11,0.3284,9177,21500,3733,-12968,1493,-4624
259700,1,21,0.0983,8240,30500,-12899,-23550,2560,15254
387500,0.8772,33,0.8052,9723,27000,-7643,8962,871,7523
238900,0.9524,33,0.6395,8474,19157,-10861,1341,2294,-9800
345100,1,13,0.6958,8475,25000,-12899,3930,2293,3106
253400,0.6765,12,0.7708,7204,25626,947,7380,3741,4489
3101900,1,11,0.6278,2512,16343,-12899,803,9086,-16015
146700,0.7138,13,0.019,6759,36250,-650,-27198,4248,27954
181100,0.3576,41,0.8831,5445,21172,14595,12545,5745,-5349
141705,1,22,0.6716,14517,21500,-12899,2817,-4591,-4624
259800,0.8929,21,0.4229,6637,26040,-8315,-8621,4387,5403
335400,1,11,0.5924,9712,27800,-12899,-825,883,9290
316500,0.982,11,0.71,7261,24500,-12128,4583,3676,2002
278200,0.2857,21,0.1885,14043,24187.5,17672,-19402,-4051,1311
297500,0.724,11,0.6048,9126,23187,-1086,-255,1551,-898
368400,0.9773,13,0.7207,8502,27000,-11927,5075,2262,7523
319300,0.9355,33,0.7611,7027,22466,-10138,6934,3942,-2491
294200,0.9359,22,0.0031,4591,41000,-10155,-27929,6718,38446
251800,0.6056,11,0.5735,15441,20605,3981,-1695,-5644,-6601
234600,0.8889,22,0.8397,10948,27000,-8144,10549,-525,7523
164100,0.5891,12,0.7014,14726,27000,4687,4188,-4829,7523
2136600,0.9359,11,0.834,8970,25000,-10155,10286,1729,3106
299000,1,33,0.8002,7858,27000,-12899,8732,2996,7523
236500,1,11,0.576,12923,26875,-12899,-1580,-2775,7247
180100,0.9608,32,0.8169,11611,27000,-11221,9500,-1280,7523
167800,0.5946,31,0.839,6400,25375,4452,10516,4657,3934
246300,0.592,12,0.7679,6895,22062,4563,7246,4093,-3383
306900,0.3939,21,0.7108,9102,30500,13042,4620,1578,15254
304100,0.4433,32,0.7715,6875,27000,10927,7412,4115,7523
934500,0.5237,22,0.7307,8487,21500,7486,5535,2279,-4624
3724300,0.4949,13,0.4174,9059,31000,8719,-8874,1627,16358
331300,0.4187,21,0.7061,13704,28000,11980,4404,-3665,9732
200800,0.8294,32,0.705,6006,20500,-5597,4353,5106,-6833
162400,0.9925,22,0.76,8351,25500,-12578,6883,2434,4210
223900,0.3975,12,0.8449,6096,25000,12888,10788,5003,3106
163900,0.6,32,0.8201,7214,26000,4221,9647,3729,5315
136000,1,11,0.5972,5132,24620,-12899,-605,6101,2267
383200,0.4015,11,0.5269,7920,32606.5,12716,-3838,2925,19907
344800,0.7023,12,0.7725,10729,23000,-157,7458,-276,-1311
208300,0.8473,11,0.0204,9454,31000,-6363,-27133,1177,16358
134500,0.479,33,0.5071,8399,16255,9399,-4749,2379,-16209
144300,1,11,0.5614,35595,17750,-12899,-2251,-28606,-12907
359400,1,12,0.488,8373,20000,-12899,-5627,2409,-7938
303000,1,32,0.5487,4315,26736,-12899,-2835,7032,6940
337903,0.75,33,0.7278,8486,26813.5,-2199,5402,2280,7112
340700,1,21,0.6315,7544,21500,-12899,973,3353,-4624
344900,0.6188,21,0.5911,6588,26250,3416,-885,4442,5867
313400,0.3553,21,0.647,11842,28000,14694,1686,-1544,9732
200300,0.5566,12,0.6807,13193,25000,6078,3236,-3083,3106
376500,1,12,0.0507,7830,31000,-12899,-25740,3027,16358
372100,0.7621,13,0.7753,8505,20500,-2717,7587,2258,-6833
919200,0.2653,32,0.7299,6701,23000,18546,5499,4314,-1311
369200,0.4877,32,0.7833,7955,27000,9027,7955,2885,7523
141704,0.9697,22,0.5409,4571,21500,-11602,-3194,6740,-4624
307700,0.9699,31,0.7984,10181,25000,-11610,8649,349,3106
278800,1,21,0.7121,7464,25000,-12899,4680,3444,3106
281600,0.6696,21,0.8029,10563,27000,1242,8856,-86,7523
2066200,0.1948,11,0.3374,13249,24384,21563,-12554,-3147,1745
140200,1,21,0.7678,14176,26000,-12899,7242,-4203,5315
274800,0.4506,12,0.7933,10173,26248.5,10615,8414,358,5864
115400,0.504,11,0.2195,8331,17501,8330,-17976,2457,-13457
332700,0.853,32,0.8601,7365,25250,-6607,11487,3557,3658
203200,0.8945,11,0.0402,8378,27000,-8383,-26223,2403,7523
148100,0.6664,13,0.4477,6869,16836,1379,-7481,4122,-14926
229000,0.8744,13,0.6813,14779,25458,-7523,3263,-4890,4118
364400,0.8597,12,0.6116,7046,22500,-6894,58,3921,-2416
234300,0.4565,13,0.8354,8096,21500,10362,10351,2724,-4624
316300,1,33,0.6418,6769,14290,-12899,1447,4236,-20549
196200,0.4771,33,0.7706,4353,16382.5,9481,7370,6989,-15928
2270600,0.1964,21,0.5365,3228,21500,21494,-3396,8271,-4624
252300,0.7379,32,0.6532,6678,27000,-1681,1971,4340,7523
183300,0.6304,32,0.8063,6227,27000,2920,9012,4854,7523
125100,0.1327,11,0.2376,14922,27000,24221,-17144,-5053,7523
180400,0.9887,11,0.669,8185,27000,-12415,2698,2623,7523
381200,0.9154,32,0.8602,6375,22529.5,-9278,11491,4685,-2351
275800,0.4902,11,0.5621,10328,26000,8920,-2219,181,5315
2141500,0.7881,12,0.5588,10192,27000,-3830,-2371,336,7523
236000,0.6381,13,0.7797,6040,22997,2590,7789,5067,-1318
125300,0.8537,11,0.3681,6076,19972.5,-6637,-11142,5026,-7998
231800,0.2397,23,0.7568,7358,25000,19641,6736,3565,3106
374900,0.5395,21,0.4494,12466,20000,6810,-7402,-2255,-7938
999200,0.4167,33,0.879,8270,19125,12066,12356,2526,-9870
352500,1,32,0.8094,5304,18750,-12899,9155,5905,-10698
386300,0.5588,11,0.7367,10161,27000,5984,5811,372,7523
158000,0.9788,12,0.4753,10757,25000,-11991,-6211,-307,3106
244100,0.7628,13,0.6135,8219,25000,-2747,145,2584,3106
372000,1,13,0.7335,10266,27000,-12899,5664,252,7523
261700,0.3631,21,0.4565,9110,23000,14360,-7076,1569,-1311
208600,1,31,0.711,9008,25995,-12899,4629,1685,5304
237500,0.5238,33,0.8241,5745,22500,7482,9831,5403,-2416
398200,0.4206,11,0.7005,12963,29000,11899,4146,-2821,11941
230700,0.5169,21,0.7533,7654,25000,7777,6575,3228,3106
292900,1,32,0.6894,5645,23988,-12899,3636,5517,871
332916,0.549,21,0.8226,6227,27000,6404,9762,4854,7523
4127100,0.8678,41,0.1412,7748,19500,-7241,-21577,3121,-9042
234200,0.5755,11,0.6523,10127,28065,5269,1930,410,9876
181400,0.5268,13,0.8407,5500,19052,7354,10595,5682,-10031
712100,0.5143,21,0.9267,6877,17500,7889,14550,4113,-13459
288500,0.7891,13,0.6375,12450,26144,-3872,1249,-2236,5633
366500,0.7772,31,0.6159,6645,21374,-3363,255,4378,-4903
388400,0.7416,32,0.8402,9719,27000,-1839,10572,875,7523
162600,0.7953,41,0.7725,11119,24428,-4138,7458,-720,1843
377800,0.5997,12,0.7316,9857,25500,4234,5577,718,4210
316700,0.6854,32,0.6355,7758,22274,566,1157,3109,-2915
211400,0.2005,12,0.4216,6417,27000,21319,-8681,4637,7523
167600,0.4548,21,0.6971,8231,22000,10435,3990,2571,-3520
316600,0.6226,11,0.6007,12219,23835,3254,-444,-1973,533
143100,0.9606,21,0.7517,17395,24195,-11212,6501,-7870,1328
220100,0.4211,21,0.0673,10992,32125,11877,-24976,-575,18843
101600,1,13,0.7123,7218,21500,-12899,4689,3725,-4624
184700,0.181,33,0.8066,7185,23877.5,22153,9026,3762,627
282100,1,21,0.8373,9198,24980,-12899,10438,1469,3062
233400,0.4751,11,0.5846,9081,27000,9566,-1184,1602,7523
154600,1,12,0.582,6105,21000,-12899,-1304,4993,-5729
260800,0.4378,13,0.565,6982,25700,11163,-2086,3994,4652
291300,0.4724,31,0.5681,11643,23992.5,9682,-1943,-1317,881
178800,1,11,0.8283,13481,27000,-12899,10024,-3411,7523
219300,0.3913,13,0.5891,8297,27000,13153,-977,2495,7523
352800,0.499,13,0.703,8745,25000,8543,4261,1985,3106
308900,0.8067,31,0.842,12519,27000,-4626,10654,-2315,7523
386800,0.5175,11,0.6883,11075,27000,7752,3585,-670,7523
214400,0.2562,21,0.4857,7298,17184.5,18935,-5733,3634,-14156
195200,0.5185,31,0.8052,9212,25250,7709,8962,1453,3658
332500,0.6569,21,0.7673,8254,25500,1786,7219,2544,4210
336600,1,31,0.8183,8103,27000,-12899,9564,2716,7523
2065300,0.8657,13,0.7004,7738,24398.5,-7151,4142,3132,1777
280500,0.8729,21,0.7221,10621,21946.5,-7459,5140,-152,-3638
271200,0.6178,11,0.7433,9847,25500,3459,6115,729,4210
374700,0.4785,32,0.7847,8272,20844.5,9421,8019,2524,-6072
226600,0.9853,12,0.7866,6235,23438,-12269,8106,4845,-344
189500,0.6774,33,0.6733,3447,20760.5,908,2895,8021,-6258
225900,1,21,0.6595,8398,26000,-12899,2261,2380,5315
185000,0.8684,32,0.8972,13075,27000,-7266,13193,-2948,7523
703200,0.9362,21,0.6104,6311,17010,-10168,2,4758,-14542
172500,0.6894,32,0.6432,10582,27436,395,1511,-108,8486
232300,1,11,0.5622,13830,25000,-12899,-2214,-3809,3106
754400,1,41,0.9643,4059,9300,-12899,16279,7324,-31571
391100,0.4345,13,0.9004,5846,27000,11304,13340,5288,7523
175300,0.2013,11,0.4039,13923,25000,21285,-9495,-3915,3106
178100,0.6782,21,0.7623,13157,22500,874,6989,-3042,-2416
159100,0.7086,13,0.6253,5685,29000,-427,688,5471,11941
179800,0.7241,21,0.8376,9207,27000,-1090,10452,1459,7523
291000,0.5489,22,0.4065,4841,27000,6408,-9375,6433,7523
186000,0.6667,12,0.7903,9898,24500,1366,8277,671,2002
224300,0.6602,32,0.7954,8491,27000,1644,8511,2274,7523
214700,0.4026,11,0.7194,7602,27000,12669,5016,3287,7523
373600,0.7626,22,0.8263,9685,27000,-2738,9932,914,7523
321600,0.581,11,0.6014,8454,23368.5,5034,-412,2316,-498
306600,1,21,0.7648,5388,27000,-12899,7104,5810,7523
266800,0.8276,33,0.6911,10968,27000,-5520,3714,-548,7523
307300,1,31,0.7283,12859,27000,-12899,5425,-2702,7523
407200,1,13,0.6635,5582,22750,-12899,2445,5589,-1864
158500,0.6748,31,0.7778,4906,15000,1020,7702,6359,-18981
337600,0.566,31,0.7834,7217,28000,5676,7959,3726,9732
126200,1,11,0.6176,8862,25000,-12899,334,1852,3106
190300,0.1374,31,0.7107,5319,25250,24019,4615,5888,3658
237100,1,21,0.8416,7434,22250,-12899,10636,3479,-2968
335000,1,11,0.6153,12486,27000,-12899,228,-2277,7523
235400,0.4948,11,0.7232,7489,25500,8723,5190,3416,4210
265700,0.7524,22,0.3084,9196,18340,-2302,-13887,1471,-11604
157300,0.7396,32,0.6277,6156,21500,-1754,798,4935,-4624
178000,0.8979,33,0.6308,11581,24091,-8529,941,-1246,1098
227500,0.8769,13,0.6171,15391,25936,-7630,311,-5587,5173
254800,1,32,0.8326,8140,27000,-12899,10222,2674,7523
256500,0.9254,11,0.7784,10896,21500,-9706,7729,-466,-4624
189300,1,43,0.6612,3549,21250,-12899,2339,7905,-5177
184400,0.9314,32,0.7465,15009,25000,-9963,6262,-5152,3106
258901,0.2857,12,0.7493,8302,27000,17672,6391,2490,7523
260300,0.5985,21,0.545,12802,27000,4285,-3005,-2637,7523
262200,0.263,21,0.3795,9932,24500,18644,-10617,633,2002
4095300,0.6,11,0.7324,12346,23250,4221,5614,-2118,-759
281700,0.6652,33,0.6963,8189,27000,1430,3953,2618,7523
241000,0.6906,12,0.0415,7627,29500,343,-26163,3259,13045
110600,0.9688,42,0.8504,5047,19000,-11563,11041,6198,-10146
181300,0.6291,11,0.7186,15469,24147.5,2975,4979,-5676,1223
185200,0.5742,13,0.8692,8648,26000,5325,11905,2095,5315
143600,0.1899,21,0.4507,6546,23000,21773,-7343,4490,-1311
180500,1,11,0.4047,3392,27013.5,-12899,-9458,8084,7553
218800,0.9891,21,0.6843,8666,25000,-12432,3401,2075,3106
110200,1,32,0.8426,8934,23250,-12899,10682,1770,-759
245800,0.7872,33,0.6431,20532,12000,-3791,1506,-11444,-25607
231100,0.58,21,0.7765,10725,24750,5077,7642,-271,2554
282500,1,11,0.6263,8251,22143.5,-12899,734,2548,-3203
335700,0.2305,11,0.7019,9247,27000,20035,4211,1413,7523
326200,0.7164,21,0.8632,13429,27000,-761,11629,-3352,7523
350500,1,21,0.784,6739,27000,-12899,7987,4270,7523
221100,1,12,0.8305,10507,24826.5,-12899,10125,-23,2723
134900,0.6364,13,0.5633,8348,22500,2663,-2164,2437,-2416
262800,0.472,21,0.6445,13081,26174,9699,1571,-2955,5699
114600,0.5236,13,0.4917,6913,16500,7491,-5457,4072,-15668
242300,0.8673,33,0.7217,7318,23537,-7219,5121,3611,-125
363200,0.8763,13,0.661,14943,19000,-7604,2330,-5077,-10146
326700,0.9694,21,0.8632,8417,26000,-11589,11629,2359,5315
187400,0.7727,33,0.8465,13112,27000,-3170,10861,-2991,7523
345600,0.5581,13,0.5809,8526,27000,6014,-1354,2234,7523
161100,0.7363,33,0.2273,13729,19197,-1613,-17617,-3694,-9711
180800,0.576,22,0.8581,6024,22866,5248,11395,5085,-1607
110700,0.6942,33,0.6311,6436,17000,189,954,4616,-14564
324700,1,21,0.9298,7079,27000,-12899,14693,3883,7523
216000,0.8191,12,0.6833,9026,25000,-5156,3355,1665,3106
341800,0.3765,13,0.8312,5479,27000,13786,10158,5706,7523
140600,0.4605,12,0.5757,11023,24099,10191,-1594,-610,1116
196100,0.8811,32,0.8042,16874,27000,-7810,8916,-7277,7523
226200,1,12,0.7644,11797,27000,-12899,7085,-1492,7523
383900,1,22,0.7464,9053,27000,-12899,6257,1634,7523
370900,0.6286,41,0.7623,10689,27000,2997,6989,-230,7523
307200,0.5164,13,0.8409,7392,25000,7799,10604,3526,3106
297900,0.6068,21,0.823,11700,23250,3930,9780,-1382,-759
323000,1,32,0.7917,12779,29046,-12899,8341,-2611,12043
320800,0.9286,12,0.7927,4694,23750,-9843,8387,6600,345
336800,0.9561,21,0.8446,7509,27000,-11020,10774,3393,7523
352700,1,32,0.7056,4227,28000,-12899,4381,7132,9732
204300,0.4169,13,0.894,6040,26250,12057,13046,5067,5867
406900,0.9545,32,0.7974,6197,19500,-10951,8603,4888,-9042
304500,0.7817,32,0.8012,8270,23734,-3556,8778,2526,310
223600,0.6,32,0.8355,11731,27000,4221,10355,-1417,7523
102400,0.5096,43,0.4421,7552,24253,8090,-7738,3344,1456
248200,0.2214,21,0.7537,6558,24000,20424,6593,4477,897
252100,1,21,0.6238,6722,25000,-12899,619,4290,3106
351000,0.7446,12,0.6596,8512,21743,-1968,2265,2250,-4088
230100,0.6817,33,0.8601,7460,22000,724,11487,3449,-3520
142200,0.4702,12,0.5819,12724,26960,9776,-1308,-2548,7435
198900,0.8198,11,0.7681,11208,21500,-5186,7255,-821,-4624
329300,0.704,13,0.756,8436,27000,-230,6699,2337,7523
218700,0.5172,31,0.7594,9487,25000,7765,6855,1140,3106
218400,0.5339,22,0.7458,8460,22650,7050,6230,2310,-2084
346500,0.395,33,0.8139,7255,27000,12995,9362,3683,7523
382300,0.6473,41,0.8759,5416,24915,2196,12213,5778,2918
109000,0.7288,13,0.7372,5358,19250,-1292,5834,5844,-9594
266600,0.3175,21,0.5409,12729,25000,16311,-3194,-2554,3106
182600,0.9565,41,0.8158,5080,25000,-11037,9449,6161,3106
301200,0.4511,31,0.7806,7174,27000,10594,7830,3775,7523
3106200,0.5032,12,0.6718,7026,25000,8364,2826,3943,3106
375400,0.9818,13,0.6967,11178,24250,-12120,3972,-787,1449
115000,0.4741,11,0.3028,7426,16500,9609,-14145,3488,-15668
254200,0.6414,11,0.7257,13517,23250,2449,5305,-3452,-759
195900,0.9349,32,0.7282,5694,18500,-10112,5420,5461,-11251
148700,0.7639,12,0.7711,11485,27000,-2794,7393,-1137,7523
302300,0.4485,21,0.7648,9208,27000,10705,7104,1457,7523
361500,0.7171,23,0.5104,6511,21358.5,-791,-4597,4530,-4937
371900,1,33,0.7777,7687,24588.5,-12899,7697,3190,2197
218000,0.8409,11,0.6536,11227,26000,-6089,1989,-843,5315
202100,0.9904,33,0.5513,5447,22375,-12488,-2716,5742,-2692
450800,0.6694,11,0.5049,26708,21500,1251,-4850,-18481,-4624
185900,1,33,0.7446,9273,23250,-12899,6175,1383,-759
325800,0.4926,11,0.8303,10922,27000,8817,10116,-495,7523
352600,1,11,0.7122,6894,19500,-12899,4684,4094,-9042
132200,0.969,13,0.469,9254,27000,-11572,-6501,1405,7523
293000,1,11,0.5263,6394,26000,-12899,-3866,4663,5315
170000,0.3641,12,0.6194,6450,23500,14317,416,4600,-207
224100,0.9843,12,0.7464,12897,26999.5,-12227,6257,-2746,7522
290700,0.7663,13,0.821,8967,21451.5,-2897,9688,1732,-4732
314400,0.5158,11,0.7236,10076,27000,7824,5209,468,7523
295400,0.8117,32,0.3811,7060,21000,-4840,-10544,3905,-5729
327500,0.2265,11,0.6333,8916,27000,20206,1056,1790,7523
371100,1,42,0.5473,6628,27000,-12899,-2900,4397,7523
181600,0.5848,12,0.7514,7553,25537,4871,6487,3343,4292
285600,0.5291,32,0.7301,8430,17492,7255,5508,2344,-13477
353100,0.6578,33,0.7637,8384,24109,1747,7053,2396,1138
379000,0.6878,11,0.4458,15163,25000,463,-7568,-5327,3106
346100,0.375,33,0.9007,5512,27000,13851,13354,5668,7523
369600,0.8066,13,0.8305,16893,21614.5,-4621,10125,-7298,-4372
276900,1,11,0.5756,11003,23000,-12899,-1598,-588,-1311
308300,1,31,0.8302,9277,27000,-12899,10112,1379,7523
185600,0.9697,31,0.6617,10924,27000,-11602,2362,-498,7523
360600,0.7554,32,0.54,5925,22208,-2430,-3235,5198,-3061
199900,0.6319,21,0.763,15324,20493,2856,7021,-5511,-6849
196300,0.5946,32,0.8469,8940,23500,4452,10880,1763,-207
169200,0.703,22,0.7817,9858,22500,-187,7881,717,-2416
3071900,0.6395,11,0.8726,5951,19000,2530,12062,5168,-10146
143700,0.5,11,0.6342,16368,26000,8501,1097,-6700,5315
330200,0.3676,31,0.7776,5815,23508,14167,7692,5323,-189
296800,0.539,11,0.0128,6308,35198,6832,-27483,4761,25631
329600,0.4142,13,0.7939,9623,27000,12173,8442,985,7523
261600,0.4873,21,0.7627,8956,26250,9044,7007,1745,5867
746600,0.1085,11,0.5517,4380,26335,25256,-2697,6958,6055
238000,0.2164,32,0.5514,5392,20500,20638,-2711,5805,-6833
