opeid,adm_rate,sat_avg,adm_rate_rank,sat_avg_rank
919200,0.6574,1010,333,3965
125100,0.6648,1010,719,3965
236000,0.6658,1010,771,3965
125300,0.6662,1010,792,3965
703200,0.6899,1010,2029,3965
258901,0.7008,1010,2598,3965
181300,0.7049,1010,2812,3965
230100,0.7209,1010,3647,3965
3106200,0.726,1010,3913,3965
245400,0.7795,1010,6705,3965
226000,0.7842,1010,6950,3965
192600,0.7919,1010,7352,3965
398500,0.7976,1010,7649,3965
163400,0.811,1010,8349,3965
237700,0.8219,1010,8918,3965
318100,0.8526,1010,10520,3965
108900,0.8626,1010,11042,3965
392500,0.8857,1010,12247,3965
347800,0.8927,1010,12612,3965
389600,0.8955,1010,12758,3965
233600,0.9353,1010,14835,3965
358600,0.9432,1010,15248,3965
174800,0.548,1009,-5376,4041
223400,0.6189,1009,-1676,4041
316100,0.7501,1009,5171,4041
128100,0.7581,1009,5588,4041
308400,0.7644,1009,5917,4041
192700,0.7649,1009,5943,4041
379802,0.7915,1009,7331,4041
831000,0.8017,1009,7863,4041
195100,0.3617,1008,-15099,4116
176800,0.4964,1008,-8069,4116
196300,0.7387,1008,4576,4116
339100,0.8356,1008,9632,4116
754400,0.6914,1007,2107,4192
372800,0.8189,1007,8761,4192
194000,0.8793,1007,11913,4192
170800,0.4758,1006,-9144,4268
154600,0.6803,1006,1528,4268
335000,0.6954,1006,2316,4268
406900,0.7196,1006,3579,4268
303500,0.4657,1005,-9671,4344
324300,0.5233,1005,-6665,4344
159400,0.54,1005,-5794,4344
184600,0.6169,1005,-1781,4344
371900,0.7292,1005,4080,4344
383000,0.7759,1005,6517,4344
303300,0.8762,1005,11751,4344
269800,0.9427,1005,15222,4344
315400,0.9719,1005,16746,4344
193300,0.9928,1005,17836,4344
304900,0.6208,1004,-1577,4420
141704,0.6583,1004,380,4420
712100,0.6733,1004,1163,4420
407200,0.6947,1004,2279,4420
218400,0.7231,1004,3762,4420
158200,0.8403,1004,9878,4420
267000,0.8649,1004,11162,4420
370800,0.6044,1003,-2433,4495
383700,0.8298,1003,9330,4495
332902,0.8512,1003,10447,4495
194300,0.475,1002,-9186,4571
352500,0.6667,1002,818,4571
182800,0.9087,1002,13447,4571
141702,0.5685,1001,-4307,4647
180800,0.7134,1001,3255,4647
298500,0.7506,1001,5197,4647
372400,0.8396,1001,9841,4647
332903,0.8835,1001,12132,4647
320900,0.8874,1001,12336,4647
3088800,0.2636,1000,-20218,4723
190500,0.491,1000,-8351,4723
291000,0.6923,1000,2154,4723
142200,0.7213,1000,3668,4723
360600,0.7367,1000,4471,4723
182000,0.7428,1000,4790,4723
256900,0.8689,1000,11370,4723
371400,0.2906,999,-18809,4798
381000,0.3776,999,-14269,4798
315100,0.627,999,-1254,4798
332700,0.6597,999,453,4798
382200,0.9829,999,17320,4798
362400,0.5851,998,-3440,4874
372000,0.6675,998,860,4874
205400,0.8395,998,9836,4874
341900,0.5866,997,-3362,4950
219000,0.613,997,-1984,4950
218900,0.7456,997,4936,4950
361000,0.9353,997,14835,4950
694100,0.3796,996,-14165,5026
328500,0.5946,996,-2944,5026
345100,0.636,996,-784,5026
183300,0.6641,996,683,5026
114600,0.7096,996,3057,5026
2234500,0.9275,996,14428,5026
702200,0.2891,995,-18887,5102
123600,0.4506,995,-10459,5102
359200,0.6164,995,-1807,5102
710900,0.6235,995,-1436,5102
335700,0.7074,995,2942,5102
370900,0.7172,995,3454,5102
328700,0.7823,994,6851,5177
373700,0.8259,994,9126,5177
336000,0.5788,993,-3769,5253
232700,0.7864,993,7065,5253
335100,0.978,993,17064,5253
342700,0.509,992,-7412,5329
1203100,0.555,992,-5011,5329
218300,0.7931,991,7415,5405
376700,0.8904,991,12492,5405
187100,0.4107,990,-12542,5481
380600,0.4258,990,-11754,5481
160400,0.5029,990,-7730,5481
200700,0.6106,990,-2109,5481
986200,0.6134,990,-1963,5481
210700,0.6231,990,-1457,5481
115400,0.6597,990,453,5481
237500,0.6694,990,959,5481
352700,0.7194,990,3568,5481
102400,0.7199,990,3595,5481
346500,0.7236,990,3788,5481
325200,0.7574,990,5552,5481
224600,0.7929,990,7404,5481
501500,0.8602,990,10916,5481
315200,0.9032,990,13160,5481
1258000,0.9333,990,14731,5481
248800,0.96,990,16124,5481
137200,0.9741,990,16860,5481
109800,0.6278,989,-1212,5556
163900,0.651,989,-1,5556
110700,0.7142,989,3297,5556
711300,0.5673,988,-4369,5632
381800,0.6077,988,-2261,5632
242200,0.9361,988,14877,5632
201100,0.5455,987,-5507,5708
320800,0.7191,987,3553,5708
246000,0.5772,986,-3852,5784
381100,0.5822,986,-3592,5784
114900,0.7655,986,5974,5784
109300,0.5697,985,-4244,5859
337903,0.6542,985,166,5859
155600,0.7581,985,5588,5859
314500,0.833,985,9497,5859
364500,0.3806,984,-14112,5935
754000,0.6023,984,-2543,5935
265700,0.696,984,2347,5935
218800,0.7057,984,2853,5935
115600,0.8002,984,7785,5935
2280900,0.3789,983,-14201,6011
382721,0.6192,983,-1661,6011
110600,0.7049,983,2812,6011
285800,0.4665,982,-9630,6087
285400,0.5424,982,-5669,6087
200100,0.9328,982,14705,6087
138000,0.4003,981,-13084,6163
318000,0.8088,981,8234,6163
332600,0.8313,981,9408,6163
183200,0.9686,981,16573,6163
346700,0.5695,980,-4254,6238
262500,0.7458,980,4946,6238
150500,0.7487,980,5097,6238
379801,0.8452,979,10133,6314
372300,0.9545,979,15837,6314
194500,0.4437,978,-10819,6390
105000,0.4922,978,-8288,6390
377100,0.8646,978,11146,6390
218700,0.7227,977,3741,6466
339600,0.3128,976,-17651,6542
156100,0.5522,976,-5157,6542
112500,0.7967,976,7602,6542
357500,0.8212,976,8881,6542
354100,0.8244,976,9048,6542
304100,0.6469,975,-215,6617
261700,0.6683,975,902,6617
147300,0.6192,974,-1661,6693
215800,0.7632,974,5854,6693
332912,0.8123,974,8417,6693
136000,0.6511,973,4,6769
332906,0.8866,973,12294,6769
228800,0.4059,972,-12792,6845
136500,0.9278,971,14444,6920
159700,0.9633,971,16297,6920
159600,0.3705,970,-14639,6996
269300,0.3731,970,-14504,6996
256700,0.4076,970,-12703,6996
129300,0.58,970,-3706,6996
344900,0.6546,970,187,6996
366500,0.6742,970,1210,6996
337600,0.6949,970,2290,6996
157300,0.6964,970,2368,6996
178000,0.6964,970,2368,6996
323300,0.7479,970,5056,6996
248500,0.7636,970,5875,6996
171700,0.7837,970,6924,6996
317900,0.7867,970,7081,6996
135800,0.8227,970,8959,6996
1116100,0.8462,970,10186,6996
331500,0.8781,970,11850,6996
647700,0.8913,970,12539,6996
314200,0.9537,970,15796,6996
302900,0.5851,969,-3440,7072
140900,0.7997,969,7759,7072
726300,0.9316,969,14642,7072
190400,0.9745,969,16881,7072
158800,0.5755,968,-3941,7148
324500,0.7471,968,5014,7148
373200,0.7891,968,7206,7148
332921,0.8477,968,10264,7148
240300,0.9234,968,14214,7148
196000,0.4571,967,-10120,7224
207200,0.5851,967,-3440,7224
332910,0.7584,967,5604,7224
368300,0.9164,967,13849,7224
186700,0.987,967,17534,7224
196500,0.4774,966,-9061,7299
190800,0.4963,966,-8074,7299
306600,0.6936,966,2222,7299
198000,1,966,18212,7299
152100,0.4394,965,-11044,7375
182700,0.5968,965,-2830,7375
381200,0.6651,965,735,7375
180500,0.7057,965,2853,7375
382300,0.7236,965,3788,7375
205100,0.7853,965,7008,7375
259000,0.7859,965,7039,7375
999200,0.6667,964,818,7451
195900,0.7272,964,3975,7451
332917,0.838,964,9758,7451
358100,0.7881,963,7154,7527
993000,0.87,963,11428,7527
222800,0.8752,963,11699,7527
357800,0.9321,963,14668,7527
290800,0.3846,962,-13904,7602
2159600,0.5556,962,-4980,7602
294600,0.5594,962,-4781,7602
352400,0.5817,962,-3618,7602
258600,0.6256,962,-1327,7602
327600,0.7594,962,5656,7602
301100,0.2434,961,-21272,7678
363100,0.5254,961,-6556,7678
327000,0.7638,961,5886,7678
156300,0.4912,960,-8341,7754
182400,0.5504,960,-5251,7754
332200,0.7967,960,7602,7754
182600,0.7251,959,3866,7830
332915,0.7611,959,5745,7830
181700,0.8032,959,7942,7830
270400,0.3853,958,-13867,7906
377500,0.7439,958,4847,7906
283200,0.8082,958,8203,7906
160500,0.8562,958,10708,7906
327700,0.9473,958,15462,7906
298900,0.6103,957,-2125,7981
134500,0.6529,955,98,8133
2169100,0.4779,954,-9035,8209
332904,0.8107,954,8333,8209
332000,0.8146,954,8537,8209
359900,0.628,953,-1201,8285
364600,0.8531,953,10546,8285
356400,0.5599,952,-4755,8360
212200,0.6305,951,-1071,8436
159100,0.6922,951,2149,8436
204300,0.7195,951,3574,8436
332913,0.7934,951,7430,8436
345900,0.941,951,15133,8436
160100,0.4861,950,-8607,8512
154000,0.5056,950,-7589,8512
259800,0.6393,950,-612,8512
306900,0.6455,950,-288,8512
189300,0.6994,950,2525,8512
386100,0.7674,950,6073,8512
275100,0.8302,950,9351,8512
332400,0.907,950,13359,8512
385400,0.547,949,-5429,8588
257500,0.843,949,10019,8588
234500,0.8662,949,11229,8588
295500,0.4723,948,-9327,8663
148000,0.4895,948,-8429,8663
3011300,0.618,948,-1723,8663
319300,0.6418,948,-481,8663
332911,0.7802,948,6741,8663
214300,0.8688,948,11365,8663
695100,0.4682,947,-9541,8739
648900,0.7568,947,5520,8739
332300,0.9339,947,14762,8739
1205900,0.3645,946,-14953,8815
374700,0.6882,946,1940,8815
214000,0.7897,946,7237,8815
349000,0.8345,946,9575,8815
332909,0.8598,946,10895,8815
366300,0.9774,946,17033,8815
344000,0.5675,945,-4359,8891
260800,0.6806,945,1544,8891
381900,0.3235,944,-17092,8967
260700,0.8011,944,7832,8967
181100,0.6376,943,-700,9042
183500,1,943,18212,9042
382600,0.4144,942,-12348,9118
1055400,0.5328,942,-6170,9118
181600,0.7333,942,4294,9118
359800,0.4952,941,-8132,9194
189100,0.7788,941,6668,9194
330300,0.907,941,13359,9194
330600,0.9304,941,14580,9194
368800,0.9546,941,15843,9194
349503,0.3533,940,-15537,9270
2069000,0.4551,940,-10224,9270
1026600,0.5313,940,-6248,9270
154001,0.5713,940,-4160,9270
284200,0.6155,939,-1854,9346
146600,0.4611,938,-9911,9421
186600,0.4984,938,-7965,9421
295600,0.4607,937,-9932,9497
115000,0.7265,937,3939,9497
308500,0.895,937,12732,9497
368900,0.9914,937,17763,9497
343500,0.5778,936,-3821,9573
161100,0.7134,936,3255,9573
265100,0.6306,935,-1066,9649
282000,0.7704,935,6230,9649
121500,0.4064,934,-12766,9724
181400,0.6726,934,1126,9724
331600,0.8967,934,12821,9724
345000,0.5724,933,-4103,9800
922600,0.5911,933,-3127,9800
140600,0.7154,932,3360,9876
117900,0.7771,932,6580,9876
270300,0.9521,931,15712,9952
386900,0.3527,930,-15568,10028
897600,0.4245,930,-11821,10028
348000,0.5742,930,-4009,10028
383200,0.6519,930,46,10028
303000,0.654,930,155,10028
316300,0.6623,930,589,10028
295400,0.7326,930,4257,10028
2270400,1,930,18212,10028
103300,0.4787,928,-8993,10179
331800,0.9271,928,14408,10179
332100,0.993,928,17847,10179
3115500,1,928,18212,10179
380900,0.3834,927,-13966,10255
154100,0.7726,927,6345,10255
259900,0.8191,926,8771,10331
398700,0.9394,926,15049,10331
327500,0.7326,925,4257,10407
332907,0.8862,925,12273,10407
294400,0.6209,924,-1572,10482
295100,0.5326,923,-6180,10558
370200,0.5964,923,-2851,10558
162100,0.9904,923,17711,10558
363900,0.8357,922,9638,10634
328000,0.9205,921,14063,10710
210200,0.6204,920,-1598,10785
155800,0.9235,920,14220,10785
407215,0.3979,919,-13210,10861
146800,0.849,919,10332,10861
214500,0.5287,918,-6384,10937
340700,0.6545,918,182,10937
154700,0.5189,917,-6895,11013
230800,0.6143,917,-1916,11013
253300,1,917,18212,11013
181500,0.7678,916,6094,11089
115300,0.5286,914,-6389,11240
746600,0.7421,914,4753,11240
332908,0.8359,914,9648,11240
189500,0.6885,913,1956,11316
330200,0.7398,913,4633,11316
180700,0.8254,913,9100,11316
241000,0.7047,911,2801,11467
232200,0.4545,910,-10256,11543
202500,0.5365,910,-5976,11543
290500,0.57,910,-4228,11543
114700,0.594,910,-2976,11543
317400,0.595,910,-2924,11543
649400,0.7885,910,7175,11543
356500,0.4784,909,-9009,11619
279000,0.9936,909,17878,11619
262200,0.7036,907,2744,11771
370300,0.9799,907,17163,11771
965100,0.467,906,-9603,11846
380800,0.6205,906,-1593,11846
361900,0.4965,905,-8064,11922
2270600,0.6633,903,641,12074
294900,0.4685,902,-9525,12150
124300,0.783,902,6887,12150
359100,0.614,901,-1932,12225
475900,0.3713,900,-14598,12301
381300,0.4656,900,-9676,12301
322800,0.5802,900,-3696,12301
263800,0.569,899,-4280,12377
141600,0.6072,899,-2287,12377
3101900,0.6368,899,-742,12377
204100,0.7461,899,4962,12377
332914,0.7478,899,5051,12377
324100,0.7528,897,5311,12528
125200,0.31,896,-17797,12604
285900,0.5619,895,-4651,12680
142800,0.4374,894,-11148,12756
361200,0.8417,894,9951,12756
292800,0.5032,892,-7714,12907
169300,0.5761,890,-3910,13059
295300,0.6291,890,-1144,13059
261300,0.7659,890,5995,13059
362500,0.934,890,14768,13059
211400,0.6757,887,1288,13286
108600,0.3868,886,-13789,13362
200400,0.4059,886,-12792,13362
295000,0.4322,886,-11420,13362
219300,0.6849,886,1768,13362
118300,0.5706,885,-4197,13438
332916,0.6716,885,1074,13438
114200,0.8445,884,10097,13514
196800,0.4769,883,-9087,13589
206800,0.4312,880,-11472,13817
285600,0.7334,877,4299,14044
293000,0.7311,876,4179,14120
154400,0.4729,875,-9296,14196
208300,0.6525,874,77,14272
156600,0.2419,873,-21351,14347
271300,0.6281,872,-1196,14423
270900,0.7477,872,5045,14423
239600,0.7844,872,6961,14423
114000,0.6107,871,-2104,14499
169400,0.2996,870,-18339,14575
261000,0.8416,870,9946,14575
200600,0.4395,868,-11039,14726
206200,0.5506,867,-5241,14802
292600,0.49,866,-8403,14878
376500,0.6567,866,296,14878
243900,0.403,864,-12943,15029
884800,0.26,863,-20406,15105
329000,0.2716,862,-19801,15181
155900,0.8467,860,10212,15332
157500,0.4839,859,-8721,15408
298600,0.6016,859,-2579,15408
214400,0.6866,857,1857,15560
140100,0.8707,855,11464,15711
206700,0.4492,854,-10532,15787
143300,0.567,853,-4385,15863
398800,0.9404,853,15102,15863
371100,0.7331,852,4283,15939
100500,0.5326,851,-6180,16015
363000,0.3913,850,-13554,16090
316800,0.7701,850,6214,16090
144300,0.6532,849,114,16166
369300,0.9373,849,14940,16166
159000,0.7763,847,6538,16318
314700,0.4296,845,-11555,16469
349400,0.4575,843,-10099,16621
260000,0.5759,843,-3920,16621
210600,0.6127,842,-2000,16697
277700,0.619,840,-1671,16848
376400,0.8006,837,7806,17076
100200,0.5256,827,-6545,17833
242400,0.1633,825,-25452,17985
147800,0.5295,825,-6342,17985
385000,0.474,820,-9238,18364
364200,0.5192,812,-6879,18970
104400,0.5901,811,-3179,19046
259700,0.634,810,-888,19122
344600,0.8454,810,10144,19122
293600,0.4225,808,-11926,19273
202600,0.207,806,-23172,19425
342400,0.4377,806,-11132,19425
302600,0.3772,804,-14290,19576
146700,0.6371,803,-727,19652
228400,0.4842,800,-8706,19880
394600,0.9707,796,16683,20183
220100,0.6784,780,1429,21395
376600,0.2389,776,-21507,21698
291600,0.5981,773,-2762,21926
349900,0.4327,762,-11393,22759
158700,0.2181,760,-22593,22911
243300,0.3885,760,-13700,22911
296800,0.7403,740,4659,24427
314100,0.3754,735,-14384,24806
294200,0.6425,720,-445,25942
